second,Volt
+2.44000E-03,-507.59999E-03
+2.46000E-03,-501.34999E-03
+2.48000E-03,-495.09999E-03
+2.50000E-03,-488.84999E-03
+2.52000E-03,-488.84999E-03
+2.54000E-03,-476.34999E-03
+2.56000E-03,-470.09999E-03
+2.58000E-03,-470.09999E-03
+2.60000E-03,-457.59999E-03
+2.62000E-03,-457.59999E-03
+2.64000E-03,-451.34999E-03
+2.66000E-03,-445.09999E-03
+2.68000E-03,-438.84999E-03
+2.70000E-03,-432.59999E-03
+2.72000E-03,-426.34999E-03
+2.74000E-03,-432.59999E-03
+2.76000E-03,-420.09999E-03
+2.78000E-03,-413.84999E-03
+2.80000E-03,-413.84999E-03
+2.82000E-03,-407.59999E-03
+2.84000E-03,-401.34999E-03
+2.86000E-03,-401.34999E-03
+2.88000E-03,-395.09999E-03
+2.90000E-03,-382.59999E-03
+2.92000E-03,-376.34999E-03
+2.94000E-03,-376.34999E-03
+2.96000E-03,-370.09999E-03
+2.98000E-03,-363.84999E-03
+3.00000E-03,-357.59999E-03
+3.02000E-03,-357.59999E-03
+3.04000E-03,-345.09999E-03
+3.06000E-03,-345.09999E-03
+3.08000E-03,-345.09999E-03
+3.10000E-03,-332.59999E-03
+3.12000E-03,-332.59999E-03
+3.14000E-03,-332.59999E-03
+3.16000E-03,-332.59999E-03
+3.18000E-03,-320.09999E-03
+3.20000E-03,-313.84999E-03
+3.22000E-03,-307.59999E-03
+3.24000E-03,-307.59999E-03
+3.26000E-03,-295.09999E-03
+3.28000E-03,-295.09999E-03
+3.30000E-03,-288.84999E-03
+3.32000E-03,-282.59999E-03
+3.34000E-03,-288.84999E-03
+3.36000E-03,-282.59999E-03
+3.38000E-03,-276.34999E-03
+3.40000E-03,-270.09999E-03
+3.42000E-03,-263.84999E-03
+3.44000E-03,-263.84999E-03
+3.46000E-03,-263.84999E-03
+3.48000E-03,-251.34999E-03
+3.50000E-03,-251.34999E-03
+3.52000E-03,-245.09999E-03
+3.54000E-03,-251.34999E-03
+3.56000E-03,-232.59999E-03
+3.58000E-03,-232.59999E-03
+3.60000E-03,-226.34999E-03
+3.62000E-03,-226.34999E-03
+3.64000E-03,-226.34999E-03
+3.66000E-03,-220.09999E-03
+3.68000E-03,-213.84999E-03
+3.70000E-03,-207.59999E-03
+3.72000E-03,-207.59999E-03
+3.74000E-03,-201.34999E-03
+3.76000E-03,-207.59999E-03
+3.78000E-03,-201.34999E-03
+3.80000E-03,-201.34999E-03
+3.82000E-03,-195.09999E-03
+3.84000E-03,-188.84999E-03
+3.86000E-03,-182.59999E-03
+3.88000E-03,-182.59999E-03
+3.90000E-03,-176.34999E-03
+3.92000E-03,-176.34999E-03
+3.94000E-03,-170.09999E-03
+3.96000E-03,-170.09999E-03
+3.98000E-03,-163.84999E-03
+4.00000E-03,-157.59999E-03
+4.02000E-03,-163.84999E-03
+4.04000E-03,-157.59999E-03
+4.06000E-03,-151.34999E-03
+4.08000E-03,-145.09999E-03
+4.10000E-03,-145.09999E-03
+4.12000E-03,-145.09999E-03
+4.14000E-03,-138.84999E-03
+4.16000E-03,-132.59999E-03
+4.18000E-03,-132.59999E-03
+4.20000E-03,-126.34999E-03
+4.22000E-03,-126.34999E-03
+4.24000E-03,-120.09999E-03
+4.26000E-03,-120.09999E-03
+4.28000E-03,-120.09999E-03
+4.30000E-03,-113.84999E-03
+4.32000E-03,-120.09999E-03
+4.34000E-03,-120.09999E-03
+4.36000E-03,-107.59999E-03
+4.38000E-03,-101.34999E-03
+4.40000E-03,-107.59999E-03
